"question","answer","title","context"
"水力発電で得られるエネルギーは何エネルギーか？","電気エネルギー","水力発電","水力発電 [SEP] 水力発電（すいりょくはつでん）とは、水の持つ位置エネルギーを利用して、落水や流水により水力で羽根車を回し、それによる動力で発電機を回して電気エネルギーを得る（発電を行う）方式のことである。略称は「水発（すいはつ）」「水力（すいりょく）」。"
"手書きで複製された本や文書、またはその行為そのものを指して示す用語とは？","写本","写本","写本 [SEP] 写本（しゃほん）とは、手書きで複製された本や文書、またはその行為そのものを指して示す用語。時に、原本（オリジナル）である正本（しょうほん・せいほん）と対応させて、それを書き写した書写本であることを強調するために用いられることもある。現代で言う謄本。"
"マルセイユの人口はどれくらいか。","80万人","コミューン","コミューン [SEP] 日本の市町村にあたるが、フランスには日本のような行政上の市、町、村の区別はない。地図上に「都市」も「村」も存在しない。人口80万人のマルセイユも、200人程度のカマンベールもコミューンである。そのため、通例、日本の自治体の規模と翻訳者の主観に合わせて「マルセイユ市」、「カマンベール村」のように恣意的に翻訳される。"
"インクナブラはラテン語ではどんな意味ですか？","ゆりかご","インキュナブラ","インキュナブラ [SEP] インキュナブラ（incunabula、単数形はincunabulum)は、西欧で作られた最初期の活字印刷物のことであり、15世紀（グーテンベルク聖書以降、1500年まで）に活版印刷術を用いて印刷されたものを指す（本だけではなく、一枚物（ブロードサイド broadside）も含む）。揺籃印刷本、インクナブラともいう（incunabula はラテン語でゆりかごの意味）。"
"羅睺羅は誰の実子","釈迦","羅睺羅","羅睺羅 [SEP] 羅睺羅（らごら、梵/巴: ラーフラ）は、仏教の開祖たる釈迦の実子であり、またその弟子の一人。釈迦族の王子瞿曇悉達多 (ゴータマ・シッダールタ＝釈迦牟尼の俗名) の妃耶輸陀羅(ヤショーダラー)が釈迦の出家前に妊娠した子で、釈迦が出家して5年後に生まれたとされる。釈迦十大弟子の一人に数えられ、正しい修行を為した密行第一と称される。また十六羅漢の一人でもある。"
"事務作業を行う部屋のことを英語で表記するとどうなる？","office","オフィス","オフィス [SEP] オフィス (office) とは、事務作業を行う部屋。事務所、事務局、事務室などのこと。また、一般的に業務施設という場合もオフィスを用途とした施設・建物（ビルなど）を指すことが多い。"
"20か国・地域首脳会合の略は？","G20首脳会合","G20","G20 [SEP] 構成国・地域は、アメリカ合衆国、イギリス、フランス、ドイツ、日本、イタリア、カナダ、EU、ロシア、中華人民共和国、インド、ブラジル、メキシコ、南アフリカ共和国、オーストラリア、大韓民国、インドネシア、サウジアラビア、トルコ、アルゼンチンである。20か国・地域首脳会合（G20首脳会合）および20か国・地域財務大臣・中央銀行総裁会議（G20財務相・中央銀行総裁会議）を開催している。主要20か国・地域とも言い、日本の放送局であるNHKでは、先進国会合であるG7と区別して、先進国に新興国を加えた主要20か国と表現している。"
"殺傷、損傷、捕縛、破壊、無力化、を元来の目的として攻撃能力を有する道具は？","武器","武器","武器 [SEP] 武器は殺傷、損傷、捕縛、破壊、無力化、を元来の目的として攻撃能力を有する道具で、これらを背景に警告、威嚇、抑止力にも用いられる。主な用途は戦闘だが、それらを模して行われるスポーツ競技や演劇用の模造品・玩具がある。"
"エネルギーを電気エネルギー（電力）に変換する電力機器何という","太陽電池","太陽電池","太陽電池 [SEP] 太陽電池（たいようでんち）は、光エネルギーを電気エネルギー（電力）に変換する電力機器である。主に、太陽光エネルギーを家庭用や産業用の電力として活用する目的で使用される。電池と表現されるが、電力を蓄える蓄電機能は持っていない。タイプは大きく分けてシリコン系、化合物系、有機系がある。"
"株式会社河出書房新社どこの国の出版社","日本","河出書房新社","河出書房新社 [SEP] 株式会社河出書房新社（かわでしょぼうしんしゃ）は、日本の出版社である。本社は東京都渋谷区千駄ヶ谷にある。"
"浜松市の読み方をひらがなで","はままつし","浜松市","浜松市 [SEP] 浜松市（はままつし）は、静岡県西部、遠州地方に位置する市。政令指定都市と国際会議観光都市に指定されている。中部地方では名古屋市に次ぎ、静岡県および三遠南信最大の都市である。"
"探索すべき余地が残されている未知の領域に直接に赴くことにより調査する人々ことを何というか？","探検家","探検家","探検家 [SEP] 探検家（たんけんか）とは、探索すべき余地が残されている未知の領域に直接に赴くことにより調査する人々を指す。広義の意味において、冒険家（冒険者）や宇宙飛行士を含むこともある。"
"鹿児島県の県庁所在地は","鹿児島市","鹿児島市","鹿児島市 [SEP] 鹿児島市（かごしまし）は、鹿児島県の中部に位置する市。鹿児島県の県庁所在地で、中核市に指定されている。"
"ISO 216はどういうものか。","紙の寸法を規定する国際規格","ISO_216","ISO_216 [SEP] ISO 216は、今日世界の多くの国で使われている、紙の寸法を規定する国際規格である。A4シリーズの紙のサイズを定めている。"
"プログラムのソースコードは何で書かれる？","プログラミング言語","プログラミング","プログラミング [SEP] コンピュータープログラミングとは、ある特定のコンピューティングの結果を得ることを目的として、実行可能なコンピュータープログラムを設計・構築するプロセスのことである。プログラミングが関係するタスクの例としては、アルゴリズムの生成、アルゴリズムの正確さとリソースの消費量のプロファイリング、選択したプログラミング言語でのアルゴリズムの実装（これは一般にコーディングと呼ばれる）などがある。プログラムのソースコードは、コンピューターのCPUで直接実行される機械語ではなく、プログラマーが理解できる1つ以上のプログラミング言語で書かれる。プログラミングの目的は、あるタスク（オペレーティングシステムのように複雑な場合もある）をコンピューター上で自動化する1連の命令を見つけることで、与えられた問題を解決することである。そのため、プログラミングのプロセスには、アプリケーションドメインに関する知識、特定のアルゴリズム、形式論理など、さまざまな主題に関する専門性が要求されることが多い。"
"日本では、これに準拠して日本産業規格JIS X0301「情報交換のためのデータ要素及び交換形式ー日付及び時刻の表記」が定められている","ISO_8601","ISO_8601","ISO_8601 [SEP] 日本では、これに準拠して日本産業規格JIS X0301「情報交換のためのデータ要素及び交換形式ー日付及び時刻の表記」が定められている。ただし、JISにおいては、ISO 8601の規定に元号（明治～令和）による年の規定を追加している。"
"1025年から1569年（リトアニアとの二重王国時代を含めると1795年）までポーランド一帯を支配していた王国は？","ポーランド王国","ポーランド王国","ポーランド王国 [SEP] ポーランド王国（ポーランドおうこく）は、1025年から1569年（リトアニアとの二重王国時代を含めると1795年）までポーランド一帯を支配していた王国。14世紀にリトアニア大公国と合同し、14世紀から16世紀にかけて北はエストニア、南はウクライナまでをも含む大王国を形成、人口や領土において当時のヨーロッパ最大の国家「ポーランド・リトアニア共和国」を形成し、その連邦の盟主となったが、ヨーロッパの経済構造が変化すると共に対外戦争と内乱が続き、18世紀に共和国が周辺諸国に領土を分割されると同時に消滅して、その領土的実態としての歴史を終えた。法的には1918年に成立したポーランド共和国（第二共和国）、1939年からのポーランド亡命政府、このポーランド亡命政府を1989年に継承した現在のポーランド共和国（第三共和国）がその法的継承国家。"
"マークアップ言語とは","HTMLをXMLの文法で定義しなおした","Extensible_HyperText_Markup_Language","Extensible_HyperText_Markup_Language [SEP] Extensible HyperText Markup Language（エクステンシブル ハイパーテキスト マークアップ ランゲージ）、略記・略称：XHTML （エックスエイチティーエムエル）は、SGMLで定義されていたHTMLをXMLの文法で定義しなおしたマークアップ言語である。その仕様はHTMLと同じくW3Cによって勧告されていた。しかし2007年にW3C HTML WGを設立するとWHATWGとの共同作業を行い、2009年、W3Cは開発を正式に中止した。HTML5はXMLの書式に従わずともMathMLやSVGなどを埋め込むことが可能である。"
"惑星や恒星がその上に張り付き運動すると考えられた、地球を中心として取り巻く球体のことをなんと呼ぶか","天球","天球","天球 [SEP] 天球（てんきゅう、celestial sphere）とは、惑星や恒星がその上に張り付き運動すると考えられた、地球を中心として取り巻く球体のこと。また、位置天文学において地球から見える天体の方向を表すために無限遠の距離にある仮想の球面上の点も天球と呼ぶ。"
"スコットランドにはいくつ以上の島々がある？","790","スコットランド","スコットランド [SEP] スコットランド（ ）は、イギリスを構成するカントリーの一つである。スコットランド本土は、グレートブリテン島の北3分の1を占め、南東にイングランドとの国境を持ち、北と西に大西洋、北東に北海、南をアイリッシュ海に囲まれている。また、スコットランドには790以上の島々があり、主に北部諸島とヘブリディーズ諸島の群島を中心にしている。"
"インドヨーロッパ語族に属するアルメニア語を使用している人種は？","アルメニア人","アルメニア人","アルメニア人 [SEP] アルメニア人（アルメニアじん）は、アルメニアの主要民族。インドヨーロッパ語族に属するアルメニア語を使用している。アルメニア人の6割はアルメニア共和国・アルツァフ共和国の外に暮らすディアスポラである。自称は「ハイ」。"
"山陽自動車道の起点は。","兵庫県神戸市北区","山陽自動車道","山陽自動車道 [SEP] 山陽自動車道（さんようじどうしゃどう、SANYO EXPRESSWAY）は、兵庫県神戸市北区を起点に、岡山県、広島県を経由して山口県の下関市へと至る高速道路（高速自動車国道）。略称は山陽道（さんようどう、SANYO EXPWY）である。"
"台湾の市を一つ挙げよ","高雄市","高雄市","高雄市 [SEP] 1979年7月1日、台湾省管轄下の省轄市から直轄市に昇格し、2010年12月25日に高雄県を統合した。台湾地区最大の面積を有する都市で、2019年10月時点の人口は2,773,127人であり、台湾第3位。台湾を代表する貿易港を有しており、実質的に台北市に次いで、台湾第2の経済文化の拠点と位置付けられている。"
"南イングランドを流れる川は？","テムズ川","テムズ川","テムズ川 [SEP] テムズ川（テムズがわ、 ）は、南イングランドを流れる川であり、ロンドンを海とつないでいる。代表的なエスチュアリーの入り江をつくる河川である。テームズ川とも表記される。"
"国際連盟が発足したのは何年か。","1920年","国際連盟","国際連盟 [SEP] 国際連盟［こくさいれんめい、、（LON）、（SDN、SdN）、］は、の確保と国際協力の促進を目的として設立された国際組織であった。第一次世界大戦を終結させたパリ講和会議の後、1920年1月10日に発足し、1946年4月20日に活動を終了した。"
"デザイナーの中で、服飾・ファッション分野のデザインを専門とする者は？","ファッションデザイナー","ファッションデザイナー","ファッションデザイナー [SEP] ファッションデザイナーとは、デザイナーの中で、服飾・ファッション分野のデザインを専門とする者を指す。特に、ファッションショー等に出展する者の職業名ではなく、実際にはこれらに無関係の、企業専属のアパレルデザイナーや、インディーズのデザイナー、フリーのデザイナーなど、多岐にわたる。彼らは一貫してデザイン画を描いたり、実際に裁縫をすることも多い。なお、服の完成や、商品の売上について責任の一端を負う場合も多い。映画や舞台などにおける衣裳をてがけるデザイナーは、衣裳デザイナーと呼ばれる。"
"消化管の最前端にあるのは？","口","口","口 [SEP] 口（くち）は、消化管の最前端である。食物を取り入れる部分であり、食物を分断し、把持し、取り込むための構造が備わっていると同時に、鼻腔と並んで呼吸器の末端ともなっており、発声器官の一部でもある。文脈により口腔（こうこう）とも言う。なお口腔の読みの例外として、日本の医学界においては（こうくう）を正式とする。"
"宇宙航空研究開発機構の略称は？","JAXA","宇宙航空研究開発機構","宇宙航空研究開発機構 [SEP] 国立研究開発法人宇宙航空研究開発機構（うちゅうこうくうけんきゅうかいはつきこう、、略称: JAXA）は、日本の航空宇宙開発政策を担う国立研究開発法人。本部は東京都調布市にある。"
"電話にはアナログ式と何式があるか","デジタル式","電話","電話 [SEP] また特殊用途で、水中電話という、超音波を利用するものもあり、アナログ式とデジタル式がある。無線通信を行う際、水中は電波が激しく減衰するので、代わりに超音波を用いている。"
"美学はいつ成立した哲学の領域か","18世紀","美学","美学 [SEP] 美学（びがく、、また、、エスセティクス、エステティクス）は、18世紀に成立した哲学の一領域である。美の本質や構造を、その現象としての自然・芸術及びそれらの周辺領域を対象として、経験的かつ形而上学的に探究する。美的対象、美的判断、美的態度、美的経験、美的価値などが問題とされてきた。"
"後輪駆動の反対は？","前輪駆動","後輪駆動","後輪駆動 [SEP] 後輪駆動（こうりんくどう、、略称: RWD）は、車輪を有する輸送機器の駆動方式の1つで、前後の車輪のうち後車輪に動力を伝えて駆動させる方式である。逆に駆動させるのが前車輪の場合は前輪駆動と呼ばれる。ここでは主に四輪自動車における後輪駆動について述べる。"
"日本の地方公共団体のうち、地方自治法第1項に定める政令による指定を受けた市を何と呼ぶ？？","中核市","中核市","中核市 [SEP] 中核市（ちゅうかくし）とは、日本の地方公共団体のうち、地方自治法第1項に定める政令による指定を受けた市。中核市の指定と同時に保健所政令市としての指定も受ける。政令指定都市と並ぶ日本の大都市制度の一つであり、現在の指定要件は、「法定人口が20万人以上」となっている。"
"ドワンゴが提供するニコニコのライブストリーミングサービスは何と呼ばれているか","ニコニコ生放送","ニコニコ生放送","ニコニコ生放送 [SEP] ニコニコ生放送（ニコニコなまほうそう、英：niconico Live、略称：ニコ生）は、ドワンゴが提供するニコニコのライブストリーミングサービスである。サービス名に生放送とあるが、これは放送法に基づく放送ではなく、インターネット配信を示す。"
"検察庁は何省の特別機関？","法務省","検察庁","検察庁 [SEP] 検察庁（けんさつちょう）は、日本の行政機関のひとつ。検察官の事務を統轄する法務省の特別の機関である。最高検察庁、高等検察庁、地方検察庁および区検察庁の4庁が設置されている。"
"北は中華人民共和国、西はラオス、南西はカンボジアと国境を接する国は","ベトナム","ベトナム","ベトナム [SEP] インドシナ半島の東海岸をしめるベトナムの国土は南北に長く、北は中華人民共和国、西はラオス、南西はカンボジアと国境を接する。東と南は南シナ海に面し、フィリピン、ボルネオ島（マレーシア連邦やブルネイ、インドネシア）そしてマレー半島（マレーシア連邦およびタイ王国南部）と相対する。"
"猛獣でたとえられる強い動物は","ライオン","レフ・トロツキー","レフ・トロツキー [SEP] 本名はレフ・ダヴィードヴィチ・ブロンシュテイン。晩年は後妻ナターリアの姓を取ってセドフに改姓した。ただし、一般に「レフ・セドフ」という場合は、トロツキーとナターリアの間に生まれた長男（愛称「リョーヴァ」）を指す。「レフ」は英語の「レオン」と同じで、「ライオン」という意味の名前である。英語風の綴りにもとづいたレオン・トロツキーの表記も多い。"
"使用者の一方的な意思表示による労働契約の解除をなんという","解雇","解雇","解雇 [SEP] 解雇（かいこ）とは、使用者の一方的な意思表示による労働契約の解除である。解除に当たり労働者の合意がないものをいう。解雇の理由は、主に会社側の経済的事情によるもの（余剰人員など）と、労働者個別の理由によるもの（能力不足・不祥事など）に大別される。"
"アジアに住む民族、及びアジアに住む民族出身の人々を何と表す","アジア系民族","アジア系民族","アジア系民族 [SEP] アジア系民族（アジアけいみんぞく）とは、アジアに住む民族、及びアジアに住む民族出身の人々を表す。一般的にはアジア人（アジアじん）と言う。"
"労災保険の責任者はだれになる？","厚生労働大臣","労働者災害補償保険","労働者災害補償保険 [SEP] 「労災保険は、政府が、これを管掌する。」と法定されていて（第2条）、厚生労働大臣がその責任者となる。制度全体の管理運営は厚生労働省労働基準局が行い、地方においては適用、保険料の徴収、費用徴収、二次健康診断等給付の事務を都道府県労働局が行い、保険給付（二次健康診断等給付を除く）、特別支給金、労災就学等援護費、休業補償特別援護金の事務は労働基準監督署が行う。"
"US$建てにしたGDPでは、円では無くUS$で給料を受け取っている人は日本には稀有なので他国のGDPと正確に比較することは出来るか","出来ない","各国の名目GDPリスト","各国の名目GDPリスト [SEP] US$建てにしたGDPでは、円では無くUS$で給料を受け取っている人は日本には稀有なので他国のGDPと正確に比較することは出来ない。ただし、ユーロのような共通通貨を使っているEU加盟国同士では為替による変動が無いため実体を反映した比較ができる。例えば、日本で前年より経済成長したため、円建てのGDPが増加していても、前年より円安の時は同じ額をUSドル建てにしたGDPでは逆に伸びるどころか減少しているようにみえることが多い。"
"明治の次の元号は何か？","大正","大正","大正 [SEP] 明治の後、昭和の前。大化以降245番目の元号である。大正天皇の在位期間である1912年（大正元年）7月30日から1926年（大正15年）12月25日まで。"
"数を表す語は何か。","数詞","数詞","数詞 [SEP] 数詞（すうし）とは、数を表す語である。言語および数詞の種類により、名詞・形容詞・限定詞などの下位の品詞に分類される。文法上の数とは異なる。基数詞、序数詞など種別がある。"
"ナノテクノロジーの略称は何か。","ナノテク","ナノテクノロジー","ナノテクノロジー [SEP] ナノテクノロジー (nanotechnology) は、物質をナノメートル (nm, 1 nm = 10 m)の領域すなわち原子や分子のスケールにおいて、自在に制御する技術のことである。ナノテクと略される。そのようなスケールで新素材を開発したり、そのようなスケールのデバイスを開発する。"
"キロ（kilo, 記号:k）は国際単位系 (SI) における接頭辞の一つで、基礎となる単位の何倍でしょうか？","103（＝1000）倍","キロ","キロ [SEP] キロ（kilo, 記号:k）は国際単位系 (SI) における接頭辞の一つで、以下のように、基礎となる単位の103（＝1000）倍の量であることを示す。記号は小文字・立体の「k」である。"
"中東・ギリシャ・アナトリア・東ヨーロッパに広がり成長したキリスト教諸教派（ギリシャ正教・東方正教会とも称される正教会および東方諸教会）の総称を何という？","東方教会","東方教会","東方教会 [SEP] 東方教会（とうほうきょうかい）は、中東・ギリシャ・アナトリア・東ヨーロッパに広がり成長したキリスト教諸教派（ギリシャ正教・東方正教会とも称される正教会および東方諸教会）の総称。広義の意味では東方正教会と東方諸教会をも含んだ意味で用いられるが、「東方教会」が正教会（ギリシャ正教）を指している場合もある。"
"中国武術においてスパーリング、組手に類する行為の名称は？","散打","散打","散打 [SEP] 散打（さんだ、Sanda）とは、中国武術においてスパーリングや組手あるいは試合に類する行為。散手 (さんしょう、Sanshou) とも言われ、競技の正式名称でもある。技術交流のために開かれる大会も散打大会、散手大会などと呼ばれる。日本においても様々な流派が様々なルールで大会を開催している。"
"はじめてシュルレアリスムという言葉を用いたのはだれか？","ギヨーム・アポリネール","シュルレアリスム","シュルレアリスム [SEP] 』（1913年）によってフランス詩を大きく変え、美術評論『』（1913年）によってピカソ、ブラック、ピカビア、デュシャンらの前衛芸術家を支持したギヨーム・アポリネールは、アンドレ・ブルトン、フィリップ・スーポー、ピエール・ルヴェルディら、後にシュルレアリスト運動を牽引することになる若手作家をつなぐ役割を果たした。1917年に初演され、一大スキャンダルを巻き起こした、ジャン・コクトーの台本、エリック・サティの音楽、パブロ・ピカソの舞台芸術、レオニード・マシーンの振付による前衛バレエ『パラード』を支持し、プログラムを書いたのもアポリネールであった。彼はこのプログラムで初めて「シュルレアリスム」という言葉を用いた。さらに、翌1918年にはシュルレアリスム演劇の先駆となった彼自身の戯曲『ティレジアスの乳房』が上演された。"
"麻生 太郎の誕生日は？","1940年〈昭和15年〉9月20日","麻生太郎","麻生太郎 [SEP] 麻生 太郎（あそう たろう、1940年〈昭和15年〉9月20日 - ）は、日本の政治家、実業家。自由民主党所属の衆議院議員（14期）、自由民主党副総裁（第17代）、志公会会長、自民党たばこ議員連盟顧問。"
"イラン北西部にも多くの話者がいる","アゼルバイジャン語","アゼルバイジャン語","アゼルバイジャン語 [SEP] イラン北西部にも多くの話者がいる。イランにおいては単にトルコ語と呼ばれることもある。"
"貧しく困る様を表す形容動詞は何か","貧困","貧困","貧困 [SEP] 貧困（ひんこん、英語：）は、貧しく困る様を表す形容動詞。「貧困生活」・「発想が貧困になる」など。本項では主に経済学と生活史的な貧困について言及する。"
"治承4年は西暦何年か。","1180年","治承・寿永の乱","治承・寿永の乱 [SEP] 治承・寿永の乱（じしょう・じゅえいのらん）は、平安時代末期の治承4年（1180年）から元暦2年（1185年）にかけての6年間にわたる大規模な内乱である。後白河法皇の皇子以仁王の挙兵を契機に各地で平清盛を中心とする平氏政権に対する反乱が起こり、最終的には、反乱勢力同士の対立がありつつも平氏政権の崩壊により源頼朝を中心とした主に坂東平氏から構成される関東政権（鎌倉幕府）の樹立という結果に至る。"
"日本赤十字社は何年に設立された？","1952年","日本赤十字社","日本赤十字社 [SEP] 日本赤十字社（にっぽんせきじゅうじしゃ）は、日本における赤十字社。1952年（昭和27年）に制定された日本赤十字社法によって設立された認可法人。社員と呼ばれる個人及び法人参加者の結合による社団法人類似組織である。略称は「日赤」（にっせき）。"
"雲南省はどこにある？","中華人民共和国西南部","雲南省","雲南省 [SEP] 雲南省（うんなんしょう、中国語：云南省、拼音：Yúnnán Shěng、英語:Yunnan）は、中華人民共和国西南部に位置する省。略称は雲、または滇（てん）。省都は昆明市。省名は雲嶺（四川省との境の山地）の南にあることに由来する。"
"中華人民共和国四川省の省都はどこですか？","成都市","成都市","成都市 [SEP] 成都市（せいとし/チェンドゥし）は、中華人民共和国四川省の省都であり、副省級市。豊かな成都平原の中にあって古くから『天府の国』と呼ばれてきた。唐の時代から蜀錦を産出するため「錦城」の別称を持ち、また芙蓉の花を市花とするところから「蓉城」の別称ももつ。"
"アメリカ合衆国議会は、どのような機関ですか","アメリカ合衆国連邦政府の立法府","アメリカ合衆国議会","アメリカ合衆国議会 [SEP] アメリカ合衆国議会（アメリカがっしゅうこくぎかい）は、アメリカ合衆国連邦政府の立法府。元老院（上院）及び代議院（下院）からなる二院制議会である。議事堂は首都ワシントンD.C.に所在する。"
"1931年に大阪帝国大学として設立された大学は？","大阪大学","大阪大学","大阪大学 [SEP] 大阪大学は、1931年に大阪帝国大学として設立された、現在では11学部・16研究科を擁する国立文理総合大学である。帝国大学としては比較的新しく、開学当初は医学部と理学部のみで創設された。文理5学部（文学部、法経学部、理学部、医学部、工学部）体制となったのは第二次世界大戦後の1949年（昭和24年）のことである。"
"東京書籍は、創立何年？","110周年","東京書籍","東京書籍 [SEP] 1909年（明治42年）創業。日本における教科書出版の最大手として有名だが、ほかにも学習参考書やデジタル教科書の制作、学力評価問題の制作、それ以外の一般書籍（主に教育関係書、人文書、文芸書）も多く出版するなど、事業領域は幅広い。2019年に設立110周年を迎えた。"
"ユネスコの無形文化遺産に登録されたフランスの文化は？","フランス料理","フランス料理","フランス料理 [SEP] フランス料理（フランスりょうり　）は、フランスで発祥した食文化および調理技術であるが、フランスという全国名義で一括されるものではなく、フランスの各地域に存在している郷土食文化の総称としての定義が強調されている。現代では世界三大料理の一つに数えられている。2010年にフレンチガストロノミー（フランス美食学）はユネスコの無形文化遺産に登録された。"
"山を神聖視し崇拝の対象とする信仰は？","山岳信仰","山岳信仰","山岳信仰 [SEP] 山岳信仰（さんがくしんこう）とは、山を神聖視し崇拝の対象とする信仰。"
"スヴァールバル諸島の西にある島は何か。","グリーンランド","スヴァールバル諸島","スヴァールバル諸島 [SEP] スヴァールバル諸島（スヴァールバルしょとう、 、 ）は、北極圏にあるノルウェー領の群島。北極海のヨーロッパ寄りに位置し（北緯74°–81°、東経10°–35°）、東はバレンツ海、西にあるグリーンランドとの間はフラム海峡、南西はグリーンランド海、南東はノルウェー海に囲まれている。"
"「ジェームズ・ボンド」シリーズの作者","イアン・フレミング","ジェームズ・ボンド","ジェームズ・ボンド [SEP] 「ジェームズ・ボンド」シリーズは、作家イアン・フレミングが1953年に生み出した架空の英国秘密情報部のエージェントを主人公とする小説群であり、彼は12の小説と2つの短編小説集に登場している。1964年にフレミングが亡くなって以降は、8人の作家がボンドの小説やノベライズを執筆していている。彼が登場する最新の小説は、2018年5月に出版されたアンソニー・ホロヴィッツの『Forever and a Day』。さらに、チャーリー・ヒグソンは若き日のボンドを題材にしたシリーズを書き、ケイト・ウェストブルックはシリーズの準レギュラーであるマネーペニーの日記を題材にした3つの小説を書いた。"
"現在、スマートフォンで時刻表や乗換案内が簡単に検索できる他、鉄道・航空・船舶・バス会社は自社のホームページや携帯サイトで時刻表や運賃表を公開しており、冊子タイプの時刻表は大幅に減少しつつあるものは？","時刻表","時刻表","時刻表 [SEP] 現在、スマートフォンで時刻表や乗換案内が簡単に検索できる他、鉄道・航空・船舶・バス会社は自社のホームページや携帯サイトで時刻表や運賃表を公開しており、冊子タイプの時刻表は大幅に減少しつつある。しかし近鉄・京阪・京成・名鉄などの時刻表は旅行ガイド・航空や他社線接続の資料としての価値もあり、各鉄道会社の売店などで根強く売られている。また、一部の事業者や駅では小さな紙に印刷した携帯型発車時刻表や、壁貼り用の比較的大きな時刻表を配布している。壁貼り時刻表は自治体や商工会など、交通事業者以外の者が作成することもあり、新聞の折り込みなどで配布されることもある。"
"ベラルーシ語の昔の別名は？","白ロシア語","ベラルーシ語","ベラルーシ語 [SEP] ベラルーシ語は、ベラルーシ共和国の公用語。白ロシア語（はくろしあご）と呼ばれていたこともある。話者は700万人から800万人で、ベラルーシやポーランド東部に分布している。系統的には、インド・ヨーロッパ語族スラヴ語派に属し、ロシア語、ウクライナ語とともに東スラヴグループを形成する。"
"プロレスラーはどこで試合を行うか","リング","プロレスラー","プロレスラー [SEP] プロレスラーは、プロレス興行に参戦してリングで試合を行う者の総称である。レスラー、選手（せんしゅ）とも呼ばれている。"
"鳥類は何綱に属する動物群の総称か。","鳥綱","鳥類","鳥類 [SEP] 鳥類（ちょうるい）とは、鳥綱（ちょうこう、Aves）すなわち脊椎動物亜門（脊椎動物）の一綱に属する動物群の総称。日常語で鳥（とり）と呼ばれ、飛行を得意とした動物である。現生鳥類 (Modern birds) はくちばしを持つ卵生の脊椎動物であり、一般的には（つまり以下の項目は当てはまらない種や齢が現生する）体表が羽毛で覆われた恒温動物で、歯はなく、前肢が翼になって、飛翔のための適応が顕著であり、二足歩行を行う。"
"ツァンカルはどこの国の人か","スロベニア","スロベニアの歴史","スロベニアの歴史 [SEP] スロベニアは元来、ヨーロッパ西側諸国との関連が深い国である。スロベニア人自体は南スラヴに属することになるが、スロベニアの作家ツァンカルが「(南スラブ人らとは)血の上では兄弟であり、言葉は従兄弟であり、文化は数世紀に渡って全く別の育ちの果実である。しかし、我がカルニオラ(スロベニア)の農民がチロル(オーストリア)の人々と親密であるほどに我々は親密ではない」 と記したようにスロベニアが西側諸国への繋がりをもつ意識は強い。"
"都道府県道は誰が認定をしているか、漢字6文字で答えよ。","都道府県知事","都道府県道","都道府県道 [SEP] 都道府県道（とどうふけんどう）とは、日本における道路の種類のひとつ。道路法で指定された道路で、都道府県知事が認定し、その都道府県が管理をしている。"
"イスラエルに古代から存在する宗教を一つ挙げよ。","ユダヤ教","イスラエルの歴史","イスラエルの歴史 [SEP] イスラエルの歴史（イスラエルのれきし）では中世から近代までのイスラエルの地における、主にユダヤ教徒の歴史年表を示す。古代イスラエルの歴史は「古代イスラエル」を参照。"
"中華人民共和国の京津冀首都圏と珠江デルタを結ぶ道路を何と言うか","南北陸上交通路","鄭州市","鄭州市 [SEP] 鄭州市（ていしゅうし）は、中華人民共和国河南省に位置する地級市。河南省の省都である。中国の中原地区第一大都市である。京津冀首都圏と珠江デルタを結ぶ南北陸上交通路と、黄海北部の港湾と中国西北部を結ぶ東西陸上交通路が交わる交通結節点となっており、中国における道路・鉄道の一番重要な交差点である。殷の時代からやく3500年の歴史を経って、今は中国の国家歴史文化名城となっており、尚、商（殷）の時代に中国の首都であった為、中国八大古都（北京、南京、杭州、西安、洛陽、開封、安陽、鄭州）となる。"
"農林水産省設置法（以下、農林水産省法）にもとづき、農林水産省に置かれている外局はなに？","林野庁","林野庁","林野庁 [SEP] 林野庁は農林水産省設置法（以下、農林水産省法）にもとづき、農林水産省に置かれている外局である。同法の第23条及び第29条から第35条が任務、所掌事務及び組織を規定している。任務は「森林の保続培養、林産物の安定供給の確保、林業の発展、林業者の福祉の増進及び国有林野事業の適切な運営を図ること」である（農林水産省法第30条）。この任務のため、森林の整備保全、民有林への指導監督・助成、国有林野事業など森林・林業に関する事務全般を扱う。"
"JCGという略称の日本の行政機関は？","海上保安庁","海上保安庁","海上保安庁 [SEP] 海上保安庁（かいじょうほあんちょう、日本語略称：海保・海保庁、、略称: JCG）は、日本の行政機関のひとつ。海上における人命・財産の保護、法律違反の予防・捜査・鎮圧を任務とする国土交通省の外局である。"
"中産階級の事であり、有産階級とも言われていることは何か。","ブルジョワジー","ブルジョワジー","ブルジョワジー [SEP] ブルジョワジーは、中産階級の事であり、有産階級とも。特に17 - 19世紀においては革命の主体になりうるほどの数と広がりを持つ階層であったが、市民革命における革命の推進主体となった都市における有産の市民階級をさす場合も有る。貴族や農民と区別して使われた。"
"生物の陸上への進出が始まった時期は何紀か","シルル紀","シルル紀","シルル紀 [SEP] シルル紀（シルルき）とは、地球の地質時代の一つで、古生代に属し、約4億4370万年前から約4億1600万年前をさす。シルリア紀（志留利亜紀）ともいう。オルドビス紀より後の時代であり、デボン紀の前にあたる。この時期、生物の本格的な陸上への進出が始まり、陸棲節足動物や最古の陸上植物が出現する。"
